,Total Page
0,50
1,50
2,28
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,1
26,50
27,50
28,6
29,7
30,11
31,50
32,50
33,50
34,1
35,50
36,50
37,16
38,2
39,22
40,4
41,3
42,6
43,14
44,42
45,7
46,18
47,4
48,1
49,5
50,1
51,7
52,2
53,3
54,21
55,21
56,1
57,50
58,50
59,50
60,34
61,15
62,40
63,22
64,10
65,10
66,5
67,14
68,9
69,3
70,23
71,5
72,3
73,10
74,17
75,5
76,1
77,3
78,1
79,3
80,1
81,1
82,1
83,1
84,3
85,5
86,5
87,1
88,1
89,1
90,1
91,1
92,1
93,15
94,3
95,9
96,31
97,9
98,25
99,5
100,4
101,2
102,1
103,1
104,1
105,2
106,5
107,7
108,4
109,10
110,1
111,5
112,5
113,1
114,4
115,4
116,4
117,2
118,1
119,4
120,1
121,22
122,50
123,9
124,17
125,4
126,8
127,4
128,1
129,5
130,1
131,1
132,2
133,3
134,8
135,29
136,10
137,1
138,7
139,6
140,4
141,13
142,8
143,6
144,1
145,8
146,7
147,5
148,2
149,4
150,1
151,2
152,3
153,5
154,4
155,3
156,4
157,1
158,1
159,1
160,14
161,8
162,10
163,9
164,10
165,1
166,4
167,1
168,1
169,5
170,2
171,1
172,2
173,4
174,7
175,50
176,24
177,50
178,50
179,50
180,50
181,50
182,50
183,17
184,50
185,37
186,8
187,49
188,14
189,20
190,14
191,50
192,1
193,22
194,1
195,1
196,48
197,50
198,30
199,10
200,50
201,50
202,42
203,50
204,20
205,3
206,1
207,50
208,50
209,50
210,50
211,50
212,22
213,3
214,2
215,14
216,26
217,21
218,15
219,21
220,17
221,5
222,4
223,4
224,2
225,50
226,25
227,10
228,3
229,3
230,3
231,11
232,2
233,7
234,2
235,1
236,17
237,1
238,33
239,2
240,5
241,4
242,4
243,15
244,1
245,5
246,7
247,4
248,38
249,11
250,3
251,2
252,2
253,1
254,5
255,1
256,2
257,1
258,1
259,1
260,1
261,16
262,1
263,11
264,6
265,5
266,1
267,50
268,50
269,50
270,26
271,50
272,10
273,50
274,50
275,10
276,50
277,13
278,50
279,15
280,50
281,26
282,5
283,25
284,13
285,1
286,20
287,6
288,50
289,50
290,50
291,50
292,50
293,50
294,50
295,1
296,50
297,43
298,22
299,18
300,9
301,10
302,1
303,2
304,2
305,50
306,50
307,50
308,1
309,6
310,50
311,10
312,50
313,50
314,28
315,4
316,34
317,29
318,17
319,30
320,19
321,4
322,1
323,11
324,50
325,50
326,1
327,50
328,33
329,33
330,29
331,18
332,8
333,50
334,28
335,21
336,3
337,7
338,1
339,8
340,29
341,50
342,4
343,28
344,50
345,50
346,45
347,4
348,13
349,50
350,50
351,1
352,1
353,50
354,35
355,38
356,47
357,50
358,50
359,50
360,50
361,50
362,50
363,50
364,44
365,50
366,4
367,22
368,50
369,9
370,50
371,50
372,20
373,19
374,15
375,14
376,8
377,4
378,2
379,7
380,6
381,32
382,8
383,7
384,10
385,22
386,18
387,7
388,9
389,2
390,2
391,2
392,7
393,6
394,5
395,5
396,5
397,30
398,35
399,11
400,6
401,26
402,11
403,5
404,18
405,4
406,17
407,7
408,17
409,19
410,1
411,3
412,18
413,15
414,12
415,25
416,7
417,20
418,3
419,8
420,5
421,9
422,17
423,6
424,31
425,29
426,3
427,3
428,12
429,5
430,4
431,9
432,2
433,14
434,14
435,12
436,9
437,24
438,2
439,25
440,21
441,19
442,7
443,2
444,2
445,1
446,4
447,1
448,4
449,1
450,9
451,6
452,50
453,50
454,15
455,23
456,2
457,5
458,4
459,5
460,25
461,27
462,6
463,17
464,4
465,20
466,2
467,16
468,15
469,3
470,1
471,8
472,14
473,15
474,25
475,8
476,3
477,8
478,18
479,2
480,2
481,4
482,4
483,50
484,50
485,50
486,50
487,1
488,50
489,50
490,50
491,50
492,50
493,50
494,43
495,1
496,50
497,9
498,12
499,1
500,31
501,30
502,32
503,50
504,9
505,50
506,31
507,50
508,14
509,35
510,10
511,1
512,1
513,1
514,1
515,50
516,24
517,17
518,33
519,1
520,50
521,16
522,8
523,20
524,23
525,13
526,9
527,3
528,3
529,1
530,3
531,3
532,1
533,5
534,1
535,4
536,4
537,1
538,4
539,6
540,4
541,5
542,1
543,1
544,1
545,1
546,1
547,7
548,10
549,2
550,8
551,7
552,50
553,18
554,1
555,18
556,2
557,17
558,3
559,9
560,4
561,17
562,12
563,1
564,5
565,4
566,9
567,4
568,1
569,31
570,4
571,4
572,18
573,4
574,50
575,12
576,11
577,3
578,17
579,14
580,8
581,6
582,1
583,1
584,3
585,1
586,1
587,1
588,1
589,11
590,14
591,2
592,6
593,4
594,1
595,3
596,15
597,50
598,4
599,1
600,1
601,1
602,10
603,1
604,1
605,11
606,1
607,50
608,18
609,6
610,38
611,50
612,9
613,14
614,2
615,26
616,7
617,36
618,15
619,25
620,6
621,2
622,2
623,7
624,3
625,10
626,1
627,5
628,2
629,2
630,1
631,34
632,17
633,50
634,50
635,15
636,50
637,13
638,8
639,50
640,17
641,6
642,50
643,34
644,26
645,15
646,7
647,42
648,17
649,46
650,10
651,50
652,1
653,31
654,29
655,15
656,1
657,31
658,1
659,1
660,1
661,29
662,30
663,50
664,14
665,6
666,2
667,25
668,30
669,21
670,2
671,3
672,4
673,38
674,1
675,12
676,9
677,3
678,6
679,1
680,37
681,50
682,40
683,13
684,18
685,8
686,5
687,4
688,2
689,1
690,29
691,20
692,15
693,4
694,6
695,4
696,21
697,8
698,26
699,15
700,8
701,12
702,10
703,16
704,18
705,3
706,6
707,2
708,1
709,7
710,3
711,2
712,36
713,8
714,50
715,50
716,50
717,50
718,38
719,10
720,17
721,7
722,50
723,38
724,6
725,25
726,2
727,8
728,2
729,1
730,9
731,5
732,2
733,5
734,3
735,9
736,7
737,2
738,37
739,17
740,43
741,14
742,21
743,8
744,4
745,9
746,35
747,1
748,19
749,16
750,5
751,3
752,8
753,50
754,1
755,9
756,8
757,40
758,6
759,3
760,13
761,45
762,15
763,10
764,7
765,10
766,2
767,3
768,5
769,2
770,1
771,8
772,5
773,2
774,4
775,26
776,17
777,21
778,7
779,10
780,25
781,5
782,22
783,5
784,10
785,5
786,7
787,5
788,1
789,22
790,43
791,50
792,50
793,7
794,33
795,20
796,5
797,50
798,5
799,2
800,21
801,16
802,4
803,3
804,3
805,6
806,1
807,35
808,17
809,4
810,17
811,10
812,38
813,4
814,8
815,2
816,17
817,20
818,33
819,16
820,27
821,16
822,5
823,15
824,29
825,8
826,50
827,5
828,4
829,8
830,10
831,50
832,50
833,50
834,50
835,50
836,50
837,50
838,50
839,50
840,50
841,50
842,50
843,50
844,50
845,50
846,50
847,50
848,50
849,50
850,50
851,18
852,50
853,33
854,2
855,50
856,50
857,7
858,7
859,13
860,6
861,50
862,50
863,50
864,50
865,43
866,50
867,3
868,50
869,50
870,50
871,16
872,50
873,50
874,50
875,3
876,47
877,50
878,50
879,50
880,27
881,50
882,3
883,50
884,9
885,12
886,12
887,6
888,50
889,50
890,8
891,50
892,50
893,35
894,3
895,50
896,45
897,34
898,50
899,50
900,50
901,50
902,50
903,50
904,50
905,32
906,50
907,29
908,36
909,50
910,50
911,50
912,50
913,50
914,33
915,50
916,50
917,29
918,50
919,8
920,7
921,13
922,50
923,50
924,20
925,33
926,50
927,50
928,5
929,50
930,50
931,20
932,50
933,9
934,7
935,50
936,47
937,34
938,16
939,6
940,22
941,1
942,50
943,20
944,21
945,13
946,50
947,46
948,50
949,50
950,50
951,20
952,50
953,40
954,33
955,50
956,5
957,27
958,42
959,9
960,1
961,21
962,50
963,16
964,5
965,2
966,2
967,6
968,3
969,2
970,11
971,50
972,50
973,50
974,50
975,31
976,33
977,50
978,38
979,50
980,50
981,9
982,40
983,50
984,8
985,50
986,14
987,42
988,3
989,2
990,7
991,10
992,39
993,2
994,24
995,8
996,1
997,29
998,50
999,34
1000,2
1001,11
1002,5
1003,21
1004,32
1005,14
1006,27
1007,50
1008,50
1009,50
1010,50
1011,19
1012,29
1013,45
1014,21
1015,50
1016,19
1017,50
1018,46
1019,50
1020,2
1021,17
1022,50
1023,50
1024,50
1025,50
1026,50
1027,21
1028,50
1029,50
1030,23
1031,11
1032,50
1033,9
1034,27
1035,50
1036,33
1037,11
1038,38
1039,50
1040,4
1041,13
1042,7
1043,19
1044,7
1045,31
1046,34
1047,50
1048,9
1049,50
1050,50
1051,48
1052,50
1053,50
1054,50
1055,50
1056,47
1057,50
1058,39
1059,6
1060,50
1061,23
1062,20
1063,50
1064,17
1065,1
1066,21
1067,5
1068,1
1069,38
1070,50
1071,50
1072,50
1073,50
1074,50
1075,8
1076,3
1077,50
1078,50
1079,50
1080,50
1081,50
1082,50
1083,50
1084,50
1085,50
1086,50
1087,50
1088,25
1089,11
1090,48
1091,50
1092,39
1093,50
1094,50
1095,49
1096,50
1097,50
1098,50
1099,28
1100,4
1101,14
1102,50
1103,16
1104,49
1105,1
1106,50
1107,50
1108,49
1109,50
1110,16
1111,40
1112,46
1113,4
1114,4
1115,4
1116,8
1117,9
1118,24
1119,17
1120,50
1121,8
1122,50
1123,50
1124,6
1125,50
1126,50
1127,50
1128,50
1129,26
1130,8
1131,43
1132,50
1133,17
1134,4
1135,3
1136,50
1137,13
1138,13
1139,7
1140,50
1141,50
1142,50
1143,50
1144,50
1145,21
1146,50
1147,44
1148,50
1149,11
1150,50
1151,15
1152,1
1153,5
1154,1
1155,1
1156,27
1157,49
1158,5
1159,50
1160,2
1161,37
1162,11
1163,11
1164,2
1165,19
1166,1
1167,5
1168,3
1169,13
1170,11
1171,1
1172,3
1173,8
1174,3
1175,1
1176,14
1177,1
1178,2
1179,26
1180,28
1181,50
1182,15
1183,18
1184,2
1185,7
1186,5
1187,1
1188,17
1189,6
1190,9
1191,4
1192,9
1193,1
1194,4
1195,13
1196,3
1197,4
1198,19
1199,4
1200,7
1201,12
1202,41
1203,5
1204,1
1205,3
1206,1
1207,1
1208,2
1209,13
1210,5
1211,3
1212,1
1213,2
1214,1
1215,5
1216,10
1217,6
1218,15
1219,7
1220,6
1221,18
1222,7
1223,7
1224,13
1225,1
1226,1
1227,1
1228,3
1229,13
1230,50
1231,15
1232,4
1233,5
1234,9
1235,50
1236,50
1237,50
1238,2
1239,50
1240,50
1241,50
1242,50
1243,50
1244,50
1245,50
1246,50
1247,50
1248,50
1249,50
1250,16
1251,1
1252,50
1253,50
1254,1
1255,50
1256,50
1257,50
1258,50
1259,50
1260,50
1261,50
1262,50
1263,46
1264,50
1265,50
1266,21
1267,50
1268,25
1269,50
1270,50
1271,15
1272,36
1273,50
1274,50
1275,50
1276,50
1277,50
1278,40
1279,36
1280,40
1281,50
1282,50
1283,50
1284,49
1285,1
1286,50
1287,50
1288,31
1289,50
1290,1
1291,50
1292,50
1293,50
1294,50
1295,50
1296,50
1297,50
1298,50
1299,50
1300,50
1301,7
1302,33
1303,19
1304,26
1305,50
1306,43
1307,50
1308,50
1309,50
1310,50
1311,50
1312,50
1313,50
1314,28
1315,35
1316,50
1317,23
1318,38
1319,24
1320,50
1321,50
1322,50
1323,50
1324,50
1325,50
1326,50
1327,50
1328,50
1329,50
1330,50
1331,5
1332,50
1333,47
1334,50
1335,50
1336,9
1337,50
1338,46
1339,3
1340,10
1341,50
1342,50
1343,8
1344,50
1345,50
1346,9
1347,25
1348,10
1349,6
1350,7
1351,1
1352,50
1353,31
1354,50
1355,50
1356,50
1357,50
1358,46
1359,3
1360,50
1361,50
1362,39
1363,14
1364,50
1365,50
1366,50
1367,50
1368,50
1369,50
1370,1
1371,50
1372,50
1373,50
1374,50
1375,50
1376,50
1377,50
1378,50
1379,25
1380,50
1381,33
1382,19
1383,50
1384,50
1385,50
1386,50
1387,34
1388,50
1389,1
1390,50
1391,50
1392,50
1393,11
1394,27
1395,50
1396,17
1397,21
1398,14
1399,50
1400,50
1401,50
1402,50
1403,50
1404,50
1405,6
1406,14
1407,17
1408,50
1409,27
1410,50
1411,38
1412,46
1413,50
1414,24
1415,5
1416,19
1417,50
1418,50
1419,50
1420,50
1421,50
1422,49
1423,50
1424,50
1425,30
1426,50
1427,31
1428,50
1429,50
1430,13
1431,50
1432,50
1433,50
1434,50
1435,50
1436,50
1437,15
1438,2
1439,42
1440,50
1441,37
1442,15
1443,13
1444,50
1445,5
1446,5
1447,12
1448,43
1449,43
1450,4
1451,3
1452,4
1453,18
1454,25
1455,8
1456,14
1457,25
1458,10
1459,13
1460,9
1461,1
1462,1
1463,2
1464,1
1465,4
1466,1
1467,1
1468,1
1469,1
1470,10
1471,9
1472,6
1473,2
1474,3
1475,1
1476,22
1477,50
1478,50
1479,50
1480,50
1481,50
1482,50
1483,50
1484,50
1485,19
1486,50
1487,50
1488,50
1489,50
1490,50
1491,50
1492,50
1493,50
1494,1
1495,50
1496,1
1497,3
1498,1
1499,1
1500,2
1501,1
1502,2
1503,2
1504,1
1505,12
1506,50
1507,50
1508,42
1509,1
1510,25
1511,50
1512,25
1513,50
1514,26
1515,2
1516,3
1517,14
1518,50
1519,21
1520,50
1521,18
1522,7
1523,11
1524,5
1525,4
1526,50
1527,50
1528,18
1529,50
1530,2
1531,8
1532,1
1533,5
1534,5
1535,2
1536,2
1537,1
1538,1
1539,2
1540,1
1541,2
1542,1
1543,1
1544,2
1545,3
1546,1
1547,1
1548,1
1549,1
1550,1
1551,5
1552,2
1553,1
1554,2
1555,2
1556,1
1557,9
1558,23
1559,19
1560,12
1561,50
1562,50
1563,11
1564,47
1565,1
1566,1
1567,17
1568,1
1569,2
1570,50
1571,1
1572,2
1573,1
1574,1
1575,1
1576,1
1577,18
1578,1
1579,50
1580,2
1581,22
1582,1
1583,50
1584,50
1585,27
1586,15
1587,16
1588,14
1589,1
1590,1
1591,1
1592,17
1593,50
1594,16
1595,1
1596,50
1597,1
1598,23
1599,50
1600,50
1601,11
1602,3
1603,50
1604,2
1605,50
1606,50
1607,50
1608,50
1609,50
1610,50
1611,50
1612,50
1613,50
1614,50
1615,20
1616,50
1617,50
1618,50
1619,50
1620,2
1621,2
1622,50
1623,40
1624,50
1625,29
1626,2
1627,16
1628,50
1629,1
1630,1
1631,1
1632,4
1633,3
1634,17
1635,3
1636,1
1637,9
1638,1
1639,3
1640,2
1641,2
1642,1
1643,6
1644,6
1645,30
1646,7
1647,3
1648,50
1649,50
1650,50
1651,50
1652,50
1653,50
1654,50
1655,50
1656,50
1657,29
1658,50
1659,50
1660,50
1661,1
1662,50
1663,37
1664,50
1665,50
1666,4
1667,50
1668,50
1669,50
1670,4
1671,50
1672,50
1673,50
1674,50
1675,11
1676,1
1677,50
1678,1
1679,50
1680,42
1681,50
1682,50
1683,50
1684,24
1685,3
1686,50
1687,50
1688,50
1689,50
1690,50
1691,5
1692,22
1693,50
1694,50
1695,50
1696,50
1697,50
1698,50
1699,50
1700,50
1701,50
1702,44
1703,20
1704,1
1705,22
1706,50
1707,16
1708,5
1709,50
1710,50
1711,50
1712,33
1713,31
1714,50
1715,50
1716,18
1717,29
1718,50
1719,50
1720,50
1721,50
1722,31
1723,50
1724,50
1725,8
1726,50
1727,28
1728,32
1729,50
1730,33
1731,18
1732,11
1733,9
1734,2
1735,1
1736,6
1737,50
1738,14
1739,23
1740,50
1741,50
1742,10
1743,27
1744,7
1745,5
1746,4
1747,12
1748,3
1749,5
1750,13
1751,50
1752,10
1753,5
1754,16
1755,6
1756,26
1757,3
1758,2
1759,2
1760,11
1761,2
1762,11
1763,3
1764,1
1765,34
1766,50
1767,11
1768,44
1769,4
1770,30
1771,14
1772,3
1773,37
1774,4
1775,4
1776,3
1777,2
1778,2
1779,1
1780,2
1781,4
1782,13
1783,4
1784,18
1785,3
1786,50
1787,50
1788,10
1789,11
1790,8
1791,16
1792,42
1793,38
1794,22
1795,50
1796,50
1797,50
1798,50
1799,50
1800,50
1801,16
1802,19
1803,24
1804,47
1805,24
1806,41
1807,21
1808,8
1809,7
1810,20
1811,21
1812,8
1813,22
1814,50
1815,2
1816,2
1817,4
1818,50
1819,50
1820,41
1821,7
1822,20
1823,11
1824,10
1825,2
1826,5
1827,1
1828,3
1829,7
1830,26
1831,4
1832,2
1833,1
1834,2
1835,12
1836,8
1837,1
1838,5
1839,2
1840,1
1841,2
1842,2
1843,1
1844,1
1845,1
1846,4
1847,50
1848,50
1849,50
1850,50
1851,50
1852,50
1853,50
1854,44
1855,50
1856,50
1857,39
1858,11
1859,9
1860,50
1861,5
1862,6
1863,26
1864,34
1865,2
1866,42
1867,2
1868,5
1869,50
1870,27
1871,6
1872,13
1873,23
1874,5
1875,32
1876,7
1877,12
1878,50
1879,4
1880,27
1881,8
1882,25
1883,8
1884,20
1885,6
1886,15
1887,3
1888,7
1889,46
1890,5
1891,9
1892,50
1893,4
1894,6
1895,33
1896,1
1897,1
1898,1
1899,2
1900,3
1901,6
1902,27
1903,9
1904,8
1905,7
1906,4
1907,2
1908,43
1909,6
1910,7
1911,20
1912,10
1913,1
1914,2
1915,6
1916,1
1917,3
1918,17
1919,2
1920,41
1921,12
1922,26
1923,5
1924,27
1925,50
1926,5
1927,15
1928,3
1929,1
1930,6
1931,1
1932,33
1933,20
1934,50
1935,1
1936,25
1937,7
1938,16
1939,50
1940,32
1941,50
1942,50
1943,50
1944,28
1945,50
1946,13
1947,50
1948,1
1949,8
1950,50
1951,50
1952,9
1953,18
1954,5
1955,23
1956,11
1957,6
1958,50
1959,12
1960,32
1961,1
1962,17
1963,15
1964,27
1965,13
1966,27
1967,40
1968,14
1969,14
1970,12
1971,22
1972,50
1973,3
1974,40
1975,2
1976,28
1977,10
1978,50
1979,30
1980,50
1981,32
1982,50
1983,50
1984,50
1985,50
1986,50
1987,50
1988,50
1989,50
1990,2
1991,50
1992,50
1993,50
1994,50
1995,4
1996,6
1997,15
1998,1
1999,3
2000,2
2001,4
2002,2
2003,46
2004,50
2005,9
2006,5
2007,48
2008,50
2009,50
2010,18
2011,6
2012,50
2013,8
2014,39
2015,1
2016,50
2017,50
2018,22
2019,5
2020,9
2021,14
2022,44
2023,21
2024,2
2025,9
2026,35
2027,11
2028,11
2029,9
2030,38
2031,33
2032,8
2033,1
2034,18
2035,6
2036,1
2037,1
2038,1
2039,4
2040,2
2041,1
2042,19
2043,12
2044,37
2045,9
2046,6
2047,16
2048,2
2049,21
2050,16
2051,28
2052,5
2053,11
2054,26
2055,12
2056,3
2057,1
2058,6
2059,42
2060,30
2061,3
2062,1
2063,4
2064,2
2065,1
2066,5
2067,1
2068,1
2069,1
2070,1
2071,1
2072,1
2073,9
2074,14
2075,2
2076,3
2077,3
2078,4
2079,3
2080,12
2081,3
2082,3
2083,5
2084,4
2085,4
2086,2
2087,1
2088,4
2089,2
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,2
2098,4
2099,21
2100,14
2101,3
2102,3
2103,2
2104,1
2105,1
2106,1
2107,1
2108,21
2109,21
2110,29
2111,1
2112,1
2113,50
2114,27
2115,11
2116,4
2117,2
2118,2
2119,3
2120,1
2121,1
2122,1
2123,2
2124,7
2125,7
2126,3
2127,6
2128,11
2129,2
2130,3
2131,2
2132,1
2133,1
2134,11
2135,1
2136,7
2137,1
2138,4
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,50
2148,50
2149,50
2150,34
2151,34
2152,50
2153,50
2154,50
2155,50
2156,50
2157,49
2158,7
2159,3
2160,50
2161,16
2162,49
2163,17
2164,25
2165,21
2166,4
2167,50
2168,15
2169,16
2170,50
2171,3
2172,22
2173,15
2174,6
2175,5
2176,50
2177,2
2178,21
2179,14
2180,3
2181,19
2182,2
2183,8
2184,4
2185,1
2186,10
2187,13
2188,5
2189,7
2190,4
2191,45
2192,3
2193,50
2194,50
2195,40
2196,50
2197,41
2198,15
2199,7
2200,50
2201,6
2202,50
2203,50
2204,3
2205,50
2206,16
2207,19
2208,50
2209,42
2210,13
2211,8
2212,17
2213,25
2214,32
2215,1
2216,25
2217,1
2218,2
2219,50
2220,50
2221,50
2222,50
2223,8
2224,7
2225,17
2226,19
2227,50
2228,3
2229,50
2230,50
2231,1
2232,1
2233,1
2234,6
2235,4
2236,6
2237,3
2238,3
2239,3
2240,1
2241,1
2242,1
2243,1
2244,1
2245,2
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,2
2253,1
2254,1
2255,2
2256,1
2257,2
2258,1
2259,1
2260,1
2261,6
2262,1
2263,1
2264,7
2265,1
2266,1
2267,1
2268,2
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,4
2279,10
2280,1
2281,2
2282,1
2283,3
2284,12
2285,39
2286,16
2287,19
2288,42
2289,21
2290,5
2291,8
2292,30
2293,1
2294,3
2295,2
2296,3
2297,1
2298,2
2299,1
2300,3
2301,2
2302,17
2303,13
2304,1
2305,8
2306,2
2307,4
2308,3
2309,1
2310,1
2311,1
2312,1
2313,4
2314,1
2315,1
2316,2
2317,1
2318,2
2319,10
2320,2
2321,1
2322,6
2323,1
2324,5
2325,2
2326,3
2327,25
2328,9
2329,4
2330,5
2331,10
2332,2
2333,1
2334,2
2335,1
2336,7
2337,6
2338,18
2339,2
2340,1
2341,1
2342,25
2343,50
2344,5
2345,15
2346,5
2347,3
2348,5
2349,1
2350,1
2351,2
2352,16
2353,1
2354,1
2355,1
2356,1
2357,3
2358,4
2359,11
2360,11
2361,1
2362,4
2363,1
2364,4
2365,10
2366,1
2367,10
2368,2
2369,1
2370,1
2371,42
2372,1
2373,12
2374,1
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,2
2382,1
2383,2
2384,1
2385,1
2386,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,2
2395,1
2396,2
2397,1
2398,2
2399,1
2400,2
2401,1
2402,1
2403,1
2404,1
2405,2
2406,1
2407,1
2408,1
2409,1
2410,1
2411,1
2412,50
2413,50
2414,50
2415,50
2416,50
2417,50
2418,50
2419,50
2420,20
2421,50
2422,48
2423,50
2424,35
2425,50
2426,50
2427,47
2428,50
2429,4
2430,13
2431,50
2432,17
2433,31
2434,50
2435,12
2436,8
2437,50
2438,20
2439,26
2440,50
2441,22
2442,50
2443,50
2444,17
2445,8
2446,5
2447,50
2448,15
2449,36
2450,3
2451,16
2452,50
2453,31
2454,50
2455,3
2456,2
2457,50
2458,27
2459,30
2460,42
2461,50
2462,50
2463,50
2464,11
2465,8
2466,46
2467,50
2468,50
2469,50
2470,26
2471,50
2472,50
2473,50
2474,50
2475,50
2476,50
2477,50
2478,7
2479,50
2480,50
2481,11
2482,14
2483,9
2484,6
2485,45
2486,50
2487,23
2488,23
2489,48
2490,26
2491,50
2492,50
2493,50
2494,26
2495,13
2496,32
2497,11
2498,3
2499,2
2500,2
2501,1
2502,4
2503,2
2504,50
2505,42
2506,15
2507,34
2508,26
2509,32
2510,50
2511,42
2512,13
2513,21
2514,2
2515,13
2516,18
2517,18
2518,50
2519,39
2520,7
2521,5
2522,2
2523,23
2524,9
2525,23
2526,3
2527,6
2528,28
2529,50
2530,50
2531,50
2532,50
2533,26
2534,50
2535,40
2536,30
2537,11
2538,36
2539,10
2540,18
2541,4
2542,50
2543,17
2544,50
2545,38
2546,28
2547,23
2548,50
2549,44
2550,28
2551,27
2552,12
2553,1
2554,12
2555,3
2556,9
2557,11
2558,50
2559,24
2560,1
2561,9
2562,2
2563,1
2564,4
2565,2
2566,19
2567,5
2568,6
2569,1
2570,1
2571,31
2572,34
2573,50
2574,23
2575,6
2576,11
2577,19
2578,1
2579,4
2580,50
2581,13
2582,2
2583,1
2584,12
2585,6
2586,42
2587,43
2588,21
2589,11
2590,9
2591,1
2592,42
2593,10
2594,22
2595,22
2596,43
2597,18
2598,8
2599,8
2600,34
2601,1
2602,1
2603,6
2604,1
2605,19
2606,1
2607,1
2608,1
2609,1
2610,1
2611,5
2612,1
2613,12
2614,2
2615,28
2616,1
2617,24
2618,7
2619,3
2620,7
2621,2
2622,1
2623,8
2624,8
2625,3
2626,1
2627,50
2628,7
2629,24
2630,8
2631,14
2632,50
2633,15
2634,1
2635,1
2636,2
2637,14
2638,50
2639,11
2640,50
2641,31
2642,29
2643,50
2644,50
2645,24
2646,5
2647,50
2648,42
2649,50
2650,1
2651,4
2652,3
2653,50
2654,50
2655,9
2656,25
2657,49
2658,23
2659,4
2660,11
2661,25
2662,13
2663,31
2664,17
2665,2
2666,50
2667,1
2668,16
2669,1
2670,6
2671,1
2672,2
2673,2
2674,8
2675,42
2676,21
2677,2
2678,3
2679,14
2680,4
2681,1
2682,7
2683,33
2684,1
2685,28
2686,50
2687,50
2688,50
2689,33
2690,50
2691,50
2692,50
2693,50
2694,19
2695,50
2696,3
2697,50
2698,50
2699,50
2700,50
2701,13
2702,28
2703,32
2704,6
2705,3
2706,2
2707,7
2708,11
2709,1
2710,1
2711,6
2712,22
2713,4
2714,6
2715,1
2716,2
2717,1
2718,4
2719,1
2720,2
2721,12
2722,50
2723,6
2724,3
2725,2
2726,1
2727,1
2728,8
2729,2
2730,1
2731,1
2732,16
2733,28
2734,16
2735,4
2736,1
2737,1
2738,1
2739,7
2740,1
2741,1
2742,1
2743,1
2744,1
2745,1
2746,1
2747,1
2748,1
2749,2
2750,1
2751,9
2752,4
2753,1
2754,50
2755,25
2756,50
2757,16
2758,1
2759,2
2760,1
2761,1
2762,2
2763,1
2764,3
2765,5
2766,7
2767,9
2768,3
2769,3
2770,10
2771,37
2772,20
2773,4
2774,3
2775,39
2776,7
2777,26
2778,13
2779,3
2780,1
2781,6
2782,10
2783,2
2784,6
2785,17
2786,3
2787,50
2788,18
2789,34
2790,26
2791,16
2792,8
2793,45
2794,20
2795,4
2796,7
2797,36
2798,15
2799,4
2800,6
2801,2
2802,10
2803,23
2804,3
2805,50
2806,9
2807,3
2808,3
2809,3
2810,2
2811,3
2812,9
2813,50
2814,44
2815,50
2816,7
2817,5
2818,1
2819,1
2820,1
2821,4
2822,13
2823,1
2824,1
2825,1
2826,1
2827,1
2828,5
2829,50
2830,50
2831,1
2832,10
2833,2
2834,1
2835,1
2836,1
2837,1
2838,1
2839,1
2840,1
2841,1
2842,5
2843,3
2844,50
2845,32
2846,15
2847,7
2848,21
2849,2
2850,13
2851,47
2852,10
2853,50
2854,50
2855,50
2856,50
2857,50
2858,50
2859,13
2860,4
2861,2
2862,2
2863,9
2864,19
2865,40
2866,22
2867,12
2868,16
2869,50
2870,11
2871,50
2872,1
2873,4
2874,2
2875,3
2876,26
2877,7
2878,42
2879,6
2880,5
2881,5
2882,2
2883,1
2884,1
2885,1
2886,2
2887,1
2888,5
2889,2
2890,4
2891,1
2892,1
2893,1
2894,3
2895,50
2896,29
2897,16
2898,8
2899,17
2900,7
2901,50
2902,3
2903,25
2904,1
2905,1
2906,1
2907,1
2908,1
2909,16
2910,2
2911,36
2912,3
2913,7
2914,1
2915,1
2916,3
2917,4
2918,4
2919,2
2920,1
2921,5
2922,4
2923,25
2924,6
2925,1
2926,1
2927,3
2928,5
2929,1
2930,1
2931,6
2932,3
2933,8
2934,5
2935,1
2936,8
2937,1
2938,1
2939,1
2940,1
2941,10
2942,1
2943,4
2944,1
2945,2
2946,1
2947,8
2948,10
2949,1
2950,5
2951,4
2952,1
2953,1
2954,2
2955,5
2956,50
2957,14
2958,16
2959,9
2960,15
2961,2
2962,2
2963,1
2964,1
2965,10
2966,15
